LAP_ID,BRAND,LAP_TYPE,INCHES,SCREEN_RESOLUTION,LAP_CPU,CPU_SUBCATEGORY,RAM_SIZE_GB,MEMORY_SIZE,MEMORY_TYPE,LAP_GPU,GPU_SUBCATEGORY,OS,WEIGHT_KG,PRICE
326,Acer,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",6,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",8.23,29251
327,Asus,Ultrabook,15.6,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Nvidia "," GeForce 940MX","Windows 10",1.70,55939
328,HP,Ultrabook,12.5,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.26,71129
329,Dell,Notebook,15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel "," Core i7 7700HQ 2.8GHz",32,"1TB ",SSD,"Nvidia "," GeForce GTX 1050","Windows 10",2.06,140606
330,MSI,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",HDD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",2.70,63883
331,Toshiba,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",2.00,50243
332,Asus,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",HDD,"Intel "," HD Graphics 620","Windows 10",2.00,71076
333,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"Intel "," HD Graphics 520","Windows 10",1.85,23923
334,Asus,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce GTX 1050","Windows 10",2.50,53227
335,HP,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 7300U 2.6GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.48,67559
337,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.84,60952
338,Asus,Notebook,15.6,1366x768,"Intel "," Celeron Dual Core N3350 1.1GHz",4,"1TB ",HDD,"Intel "," HD Graphics 500",Linux,2.00,14651
339,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Nvidia "," GeForce 940MX","Windows 10",2.00,60886
340,Dell,Notebook,15.6,1366x768,"Intel "," Celeron Dual Core N3060 1.6GHz",4,"500GB ",HDD,"Intel "," HD Graphics",Linux,2.20,14647
341,Lenovo,Notebook,15.6,"Full HD 1920x1080","AMD "," A12-Series 9720P 3.6GHz",12,"2TB ",HDD,"AMD "," Radeon 530","Windows 10",2.20,47899
342,HP,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i3 7100U 2.4GHz",8,"1TB ",HDD,"Nvidia "," GeForce 930MX ","Windows 10",2.10,38148
343,Lenovo,"2 in 1 Convertible",13.9,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel "," Core i7 8550U 1.8GHz",16,"512GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.40,111835
344,Dell,Ultrabook,13.3,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.20,84129
345,Lenovo,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",2.40,60153
346,HP,Notebook,14.0,1366x768,"Intel "," Celeron Dual Core N3060 1.6GHz",2,"32GB ",STORAGE,"Intel "," HD Graphics 400","Windows 10",1.44,14865
347,Dell,Ultrabook,15.6,"Full HD 1920x1080","Intel "," Core i7 8650U 1.9GHz",16,"512GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.88,85672
348,Asus,"2 in 1 Convertible",11.6,"Touchscreen 1366x768","Intel "," Celeron Dual Core N3350 1.1GHz",4,"32GB ",STORAGE,"Intel "," HD Graphics 500","Windows 10",1.50,19980
349,Dell,Ultrabook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"1TB ",HDD,"AMD "," Radeon 530","Windows 10",0.00,35325
351,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.84,69477
352,MSI,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1060","Windows 10",2.70,75072
353,HP,Workstation,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," Quadro M1200","Windows 10",2.60,92615
354,Toshiba,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 6500U 2.5GHz",16,"512GB ",SSD,"Nvidia "," GeForce 930M","Windows 10",2.40,74752
355,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"128GB ",HDD,"AMD "," Radeon 530","Windows 10",2.02,51730
356,Lenovo,Notebook,15.6,1366x768,"Intel "," Celeron Dual Core N3350 1.1GHz",4,"1TB ",HDD,"Intel "," HD Graphics 500","No OS",2.20,17156
357,Dell,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i5 7300HQ 2.5GHz",8,"1TB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",2.65,53227
358,Dell,Notebook,15.6,"Touchscreen 1366x768","Intel "," Core i5 7200U 2.5GHz",8,"2TB ",HDD,"Intel "," HD Graphics 620","Windows 10",2.36,29697
359,Dell,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 7300U 2.6GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.36,76031
360,HP,Notebook,15.6,1366x768,"Intel "," Core i3 6006U 2GHz",4,"500GB ",HDD,"Intel "," HD Graphics 520","Windows 10",1.86,23390
361,Asus,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",2.00,50350
362,Lenovo,Notebook,17.3,1600x900,"Intel "," Core i5 7200U 2.5GHz",6,"128GB ",HDD,"Nvidia "," GeForce GTX 940MX","Windows 10",2.80,38308
363,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",1.86,34046
364,Lenovo,Notebook,15.6,1366x768,"Intel "," Core i3 6006U 2GHz",8,"256GB ",SSD,"Nvidia "," GeForce 920MX ","No OS",2.20,26587
365,HP,Notebook,15.6,1366x768,"Intel "," Pentium Quad Core N3710 1.6GHz",8,"2TB ",HDD,"Intel "," HD Graphics 405","Windows 10",2.04,20726
366,Dell,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"128GB ",HDD,"AMD "," Radeon 530","Windows 10",2.80,57809
367,Lenovo,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7300HQ 2.5GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1050","No OS",2.40,43104
368,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"AMD "," Radeon R7 M445","Windows 10",2.33,47899
369,HP,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.36,93240
370,Asus,"2 in 1 Convertible",15.6,"Full HD / Touchscreen 1920x1080","Intel "," Core i7 7500U 2.7GHz",12,"512GB ",HDD,"Nvidia "," GeForce GT 940MX","Windows 10",2.26,58555
371,Acer,Notebook,15.6,1366x768,"AMD "," A9-Series 9420 3GHz",4,"128GB ",SSD,"AMD "," Radeon R5","Windows 10",2.10,22697
372,Asus,Gaming,17.3,"IPS Panel Full HD 1920x1080","AMD "," Ryzen 1700 3GHz",16,"256GB ",HDD,"AMD "," Radeon RX 580","Windows 10",3.25,117163
373,Lenovo,Notebook,17.3,1600x900,"AMD "," A8-Series 7410 2.2GHz",4,"128GB ",SSD,"AMD "," Radeon R5","Windows 10",2.60,26054
374,Dell,"2 in 1 Convertible",13.3,"Full HD / Touchscreen 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.62,46301
375,HP,Notebook,15.6,"Full HD 1920x1080","AMD "," A9-Series 9420 3GHz",4,"256GB ",SSD,"AMD "," Radeon R5","Windows 10",1.91,26053
376,Lenovo,Netbook,11.6,"IPS Panel 1366x768","Intel "," Celeron Quad Core N3450 1.1GHz",4,"128GB ",SSD,"Intel "," HD Graphics 500","Windows 10",1.59,29464
377,Dell,Notebook,15.6,1366x768,"Intel "," Celeron Dual Core N3060 1.60GHz",4,"500GB ",HDD,"Intel "," HD Graphics 400","Windows 10",1.80,16464
378,Asus,Notebook,14.0,1366x768,"Intel "," Celeron Dual Core N3350 1.1GHz",4,"32GB ",STORAGE,"Intel "," HD Graphics 500","Windows 10",1.50,15238
379,Acer,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"1TB ",HDD,"Nvidia "," GeForce GTX 1050",Linux,2.40,45075
380,HP,Gaming,17.3,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",3.35,63456
381,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"128GB ",SSD,"Intel "," HD Graphics 520","No OS",1.85,21498
382,Asus,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1060","Windows 10",2.30,88178
383,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Nvidia "," GeForce 940MX","Windows 10",1.50,58555
384,Asus,Ultrabook,13.3,"Full HD / Touchscreen 1920x1080","Intel "," Core i7 7500U 2.7GHz",16,"512GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.10,93181
385,Lenovo,Ultrabook,14.0,"IPS Panel 2560x1440","Intel "," Core i7 7500U 2.7GHz",8,"512GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.13,121585
386,Lenovo,Notebook,13.3,"IPS Panel Full HD 1920x1080","Intel "," Core i3 7100U 2.4GHz",4,"128GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.50,29251
387,Dell,Workstation,15.6,"Full HD 1920x1080","Intel "," Core i5 6440HQ 2.6GHz",8,"500GB ",HDD,"AMD "," FirePro W5130M","Windows 10",2.23,72940
388,Dell,Workstation,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 6820HQ 2.7GHz",8,"256GB ",SSD,"Nvidia "," Quadro M1200","Windows 10",2.00,113753
389,Lenovo,"2 in 1 Convertible",14.0,"Touchscreen 2560x1440","Intel "," Core i7 7500U 2.7GHz",16,"512GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.42,133680
390,Asus,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"1TB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",3.00,55358
391,Asus,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",3.00,84768
392,Acer,Notebook,15.6,"IPS Panel 1366x768","Intel "," Core i5 8250U 1.6GHz",12,"1TB ",HDD,"Nvidia "," GeForce MX130","Windows 10",2.20,36976
393,MSI,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",2.70,71875
394,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"AMD "," Radeon R7 M445",Linux,2.33,41498
395,HP,Ultrabook,15.6,"Full HD 1920x1080","AMD "," A9-Series 9420 3GHz",4,"256GB ",SSD,"AMD "," Radeon 520","Windows 10",1.91,26587
396,Lenovo,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"AMD "," Radeon RX 550","Windows 10",2.10,65511
397,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.90,49977
398,Dell,Workstation,15.6,"4K Ultra HD / Touchscreen 3840x2160","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," Quadro M1200","Windows 10",1.78,144495
399,Lenovo,Ultrabook,14.0,"IPS Panel 2560x1440","Intel "," Core i7 7500U 2.7GHz",16,"1TB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.13,139860
400,Lenovo,Notebook,15.6,1366x768,"Intel "," Celeron Dual Core N3350 1.1GHz",4,"1TB ",HDD,"Intel "," HD Graphics 500","Windows 10",2.20,16304
401,Asus,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",2.90,81465
402,Lenovo,Notebook,25.6,"IPS Panel Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",HDD,"AMD "," Radeon RX 550","Windows 10",2.10,60979
403,Acer,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce GTX 1050",Linux,2.50,46833
404,MSI,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1070","Windows 10",2.80,119827
405,Asus,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"512GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.10,99793
406,Toshiba,Ultrabook,13.3,"Full HD 1920x1080","Intel "," Core i7 6500U 2.5GHz",16,"512GB ",SSD,"Intel "," HD Graphics 520","Windows 10",1.20,93080
407,Dell,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i7 7600U 2.8GHz",8,"512GB ",SSD,"Intel "," HD Graphics","Windows 10",1.36,89510
408,Lenovo,Notebook,35.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"500GB ",HDD,"Intel "," HD Graphics 520","Windows 10",2.20,21792
409,Lenovo,Notebook,11.6,1366x768,"Intel "," Celeron Dual Core N3350 1.1GHz",2,"32GB ",STORAGE,"Intel "," HD Graphics 500","Windows 10",1.15,16221
410,Lenovo,Workstation,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"512GB ",SSD,"Nvidia "," Quadro M1200","Windows 10",2.67,102564
411,Lenovo,Ultrabook,14.0,"IPS Panel Full HD 2560x1440","Intel "," Core i7 7700HQ 2.8GHz",8,"512GB ",SSD,"Nvidia "," GeForce GT 940MX","Windows 10",1.70,103523
412,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"AMD "," Radeon 520","Windows 10",2.10,24988
413,Acer,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Core i7 6500U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 520","Windows 10",1.60,42038
414,Asus,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.27,49444
415,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",4,"256GB ",SSD,"AMD "," Radeon R5 M430",Linux,2.30,31909
416,Dell,Notebook,13.3,1366x768,"Intel "," Core i3 6006U 2GHz",4,"128GB ",SSD,"Intel "," HD Graphics 520","Windows 10",1.65,36710
417,HP,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i7 6500U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 520","Windows 10",1.43,79920
418,Dell,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",8,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",2.14,28769
419,Lenovo,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"AMD "," Radeon RX 550","Windows 10",1.75,64755
420,Lenovo,"2 in 1 Convertible",15.6,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel "," Core i7 7700HQ 2.8GHz",16,"512GB ",SSD,"Nvidia "," GeForce GTX 1050","Windows 10",2.00,101179
421,Chuwi,Notebook,12.3,"IPS Panel Retina Display 2736x1824","Intel "," Celeron Quad Core N3450 1.1GHz",6,"64GB ",STORAGE,"Intel "," HD Graphics 500","Windows 10",1.40,23923
422,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7820HQ 2.9GHz",8,"256GB ",SSD,"Intel "," HD Graphics 630","Windows 10",2.31,76031
423,Asus,Notebook,35.6,"Full HD 1920x1080","Intel "," Core i3 7100U 2.4GHz",8,"1TB ",HDD,"Nvidia "," GeForce 940MX",Linux,2.30,31808
424,Dell,Gaming,27.3,"IPS Panel 2560x1440","Intel "," Core i7 7820HK 2.9GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1070","Windows 10",4.42,149131
425,Dell,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",2.62,61752
426,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",HDD,"AMD "," Radeon 530","Windows 10",2.02,60867
427,Dell,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i7 7600U 2.8GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620",Linux,1.60,58555
428,HP,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",12,"256GB ",HDD,"Nvidia "," GeForce GTX 1070","Windows 10",3.35,106507
429,Mediacom,"2 in 1 Convertible",11.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Celeron Dual Core N3350 1.1GHz",4,"32GB ",SSD,"Intel "," HD Graphics 500","Windows 10",1.16,15931
430,Samsung,Netbook,11.6,1366x768,"Intel "," Celeron Dual Core N3060 1.6GHz",4,"16GB ",STORAGE,"Intel "," HD Graphics 400","Chrome OS",1.15,14332
431,Lenovo,Notebook,13.3,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.40,53813
432,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i3 7130U 2.7GHz",4,"128GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.70,31915
433,Lenovo,Workstation,15.6,"IPS Panel 4K Ultra HD 3840x2160","Intel "," Core i7 7600U 2.8GHz",16,"512GB ",SSD,"Nvidia "," GeForce 940MX","Windows 10",2.30,130270
434,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7820HQ 2.9GHz",16,"512GB ",SSD,"Nvidia "," Quadro M2200M","Windows 10",2.50,130483
435,Asus,Gaming,17.3,"Full HD 1920x1080","AMD "," Ryzen 1600 3.2GHz",8,"256GB ",HDD,"AMD "," Radeon RX 580","Windows 10",3.20,90310
436,HP,Notebook,15.6,1366x768,"Intel "," Celeron Dual Core N3060 1.6GHz",4,"500GB ",HDD,"Intel "," HD Graphics 400","Windows 10",2.10,18488
437,Google,Ultrabook,12.3,"Touchscreen 2400x1600","Intel "," Core i7 7Y75 1.3GHz",16,"512GB ",SSD,"Intel "," HD Graphics 615","Chrome OS",1.10,117163
438,Lenovo,Ultrabook,24.0,2560x1440,"Intel "," Core i7 7500U 2.7GHz",24,"512GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.32,126913
439,Asus,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",4,"256GB ",SSD,"Intel "," HD Graphics 620",Linux,2.00,29784
440,Lenovo,Notebook,17.3,1600x900,"AMD "," A6-Series 9220 2.5GHz",8,"1TB ",HDD,"AMD "," Radeon R4","Windows 10",2.80,27652
441,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",4,"256GB ",SSD,"AMD "," Radeon 530","Windows 10",2.20,39907
442,Lenovo,Ultrabook,12.5,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.36,76137
443,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Pentium Quad Core N4200 1.1GHz",4,"128GB ",SSD,"Intel "," HD Graphics 505","Windows 10",2.20,18595
444,HP,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",2.20,58555
445,Dell,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 7440HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce 930MX","Windows 10",1.64,62817
446,Acer,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",4,"500GB ",HDD,"Intel "," HD Graphics 620",Linux,2.40,23539
447,Dell,Workstation,15.6,"Full HD 1920x1080","Intel "," Xeon E3-1505M V6 3GHz",8,"64GB ",HDD,"Nvidia "," Quadro M620","Windows 10",2.23,106187
448,MSI,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i5 7300HQ 2.5GHz",8,"256GB ",SSD,"Nvidia "," GeForce GTX 1050","Windows 10",2.20,54758
449,Microsoft,Ultrabook,13.5,"Touchscreen 2256x1504","Intel "," Core i7 7660U 2.5GHz",16,"512GB ",SSD,"Intel "," Iris Plus Graphics 640","Windows 10 S",1.25,137942
450,HP,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",8,"128GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.91,31382
451,Dell,Workstation,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 6820HQ 2.7GHz",16,"256GB ",SSD,"Nvidia "," Quadro M620","Windows 10",2.17,105228
452,HP,Workstation,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7820HQ 2.9GHz",8,"512GB ",SSD,"Intel "," HD Graphics 620","Windows 10",2.31,81732
453,Lenovo,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.65,71662
454,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"128GB ",HDD,"AMD "," Radeon 530","Windows 10",2.36,52161
455,Dell,"2 in 1 Convertible",11.6,"Touchscreen 1366x768","Intel "," Pentium Quad Core N3710 1.6GHz",4,"500GB ",HDD,"Intel "," HD Graphics 405","Windows 10",1.47,25521
456,Dell,Notebook,17.3,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.7GHz",8,"1TB ",HDD,"Nvidia "," GeForce GTX 1060","Windows 10",4.42,109011
457,Microsoft,Ultrabook,13.5,"Touchscreen 2256x1504","Intel "," Core M m3-7Y30 2.2GHz",4,"128GB ",SSD,"Intel "," HD Graphics 615","Windows 10 S",1.25,52694
458,Microsoft,Ultrabook,33.5,"Touchscreen 2256x1504","Intel "," Core i7 7660U 2.5GHz",8,"256GB ",SSD,"Intel "," Iris Plus Graphics 640","Windows 10 S",1.25,95851
459,HP,Notebook,17.3,1600x900,"Intel "," Core i3 6006U 2GHz",8,"256GB ",SSD,"Intel "," HD Graphics 520","Windows 10",2.50,34094
460,Acer,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"Nvidia "," GeForce 940MX","Windows 10",2.23,28984
461,Acer,Netbook,11.6,1366x768,"Intel "," Celeron Dual Core N3060 1.6GHz",4,"128GB ",SSD,"Intel "," HD Graphics 400","Windows 10",1.40,23177
462,Asus,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",2.37,39907
463,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"512GB ",SSD,"AMD "," Radeon R7 M460","No OS",1.50,42571
464,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7820HQ 2.9GHz",8,"256GB ",SSD,"Nvidia "," Quadro M2200M","Windows 10",2.67,111355
465,Asus,Notebook,15.6,1366x768,"Intel "," Pentium Quad Core N4200 1.1GHz",4,"500GB ",HDD,"Intel "," HD Graphics 500","Windows 10",2.00,16197
466,Acer,Notebook,15.6,1366x768,"Intel "," Core i3 6006U 2GHz",4,"500GB ",HDD,"Nvidia "," GeForce GTX 940MX","Windows 10",2.20,24988
467,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"2TB ",HDD,"AMD "," Radeon 530","Windows 10",2.02,40440
468,HP,Gaming,17.3,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",12,"1TB ",HDD,"Nvidia "," GeForce GTX 1060","Windows 10",3.78,90523
469,Lenovo,Ultrabook,14.0,"IPS Panel Quad HD+ 2560x1440","Intel "," Core i7 6600U 2.6GHz",12,"256GB ",SSD,"Intel "," HD Graphics 520","Windows 10",1.40,98994
470,HP,"2 in 1 Convertible",13.3,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel "," Core i7 8550U 1.8GHz",8,"512GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.29,106507
471,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"500GB ",HDD,"AMD "," FirePro W4190M ","Windows 10",1.90,61485
472,Google,Ultrabook,12.3,"Touchscreen 2400x1600","Intel "," Core i5 7Y57 1.2GHz",8,"128GB ",SSD,"Intel "," HD Graphics 615","Chrome OS",1.10,67932
473,Dell,Ultrabook,13.3,"Full HD / Touchscreen 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.42,98134
474,Asus,Notebook,15.6,"IPS Panel 4K Ultra HD 3840x2160","Intel "," Core i7 6700HQ 2.6GHz",12,"128GB ",HDD,"Intel "," HD Graphics 530","Windows 10",2.06,69211
475,Dell,Notebook,14.0,1366x768,"Intel "," Core i3 6100U 2.3GHz",8,"128GB ",SSD,"Intel "," HD Graphics 520","Windows 10",1.79,39427
476,Dell,Workstation,0.0,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," Quadro M1200","Windows 10",1.78,128298
